# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64}
# - {name: time, unit: d, datatype: float64}
# - {name: flux, datatype: float64}
# - {name: uncertainty, datatype: float64}
# - {name: planet_model, datatype: float64}
# - {name: systematics_model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# meta: {name: WASP-39b, time_label: Time from Mid-Transit, tscale: linear, wscale: log}
# schema: astropy-2.0
wavelength time flux uncertainty planet_model systematics_model model residuals
3.017 -0.08337267795770531 0.9995939933432605 0.000340465454918984 1.0 1.0025534384546095 1.000000178108777 -0.0004061847655165707
3.017 -0.08268714258640175 1.0005405969224384 0.00034046805612152704 1.0 1.0025457788680294 1.0000001782193153 0.0005404187031230467
3.017 -0.08200160768075948 0.9998038388794844 0.000340470652138583 1.0 1.0025381346674942 1.0000001781467995 -0.00019633926731510432
3.017 -0.08131607277511721 0.9998834472584464 0.0003404732652744757 1.0 1.002530440176764 1.0000001781494765 -0.00011673089103014789
3.017 -0.08063053740381365 1.0001456221059233 0.00034047583145786894 1.0 1.0025228840546283 1.000000177903323 0.00014544420260031998
3.017 -0.07994500203251009 0.999821167639849 0.0003404784028106815 1.0 1.002515312825392 1.000000177580404 -0.000179009940554975
3.017 -0.07925946712686782 0.9998783601818338 0.0003404809736196175 1.0 1.002507743311897 1.0000001774023135 -0.0001218172204796586
3.017 -0.07857393175556426 0.9996864022510273 0.0003404835413579387 1.0 1.0025001829536502 1.0000001771138551 -0.0003137748628277981
3.017 -0.07788839684992199 0.9999051381047513 0.00034048611579869635 1.0 1.0024926029754637 1.000000177016159 -9.503891140771881e-05
3.017 -0.07720286147861843 1.000474322293136 0.0003404886690686479 1.0 1.0024850854441263 1.0000001769232847 0.00047414536985135314
3.017 -0.07651732610731488 1.000765126709423 0.0003404911992325192 1.0 1.0024776360546839 1.0000001766044573 0.0007649501049658003
3.017 -0.0758317912016726 0.9997218333225258 0.0003404937312641191 1.0 1.002470181277049 1.0000001760078883 -0.00027834268536242046
3.017 -0.07514625629603033 0.9997814461967995 0.000340496253061316 1.0 1.0024627567416233 1.00000017562201 -0.00021872942521050653
3.017 -0.07446072092472678 1.0003143959542082 0.0003404987836383098 1.0 1.0024553064677568 1.0000001758995605 0.0003142200546477625
3.017 -0.07377518555342322 1.000183106438299 0.0003405013068736618 1.0 1.0024478779186823 1.0000001759395203 0.00018293049877882162
3.017 -0.07308965064778095 0.9992561414184107 0.00034050383498756507 1.0 1.0024404351172889 1.0000001757540786 -0.0007440343356679424
3.017 -0.07240411574213867 0.9996952330535693 0.00034050633792354345 1.0 1.0024330665489194 1.0000001752387 -0.0003049421851306633
3.017 -0.07171858037083512 1.0002710331717526 0.00034050886045927284 1.0 1.0024256403890737 1.0000001747341218 0.0002708584376307499
3.017 -0.07103304499953156 1.0011684129610259 0.0003405113830466352 1.0 1.0024182141872546 1.000000174501554 0.001168238459471782
3.017 -0.070347509628228 0.9998476609645144 0.000340513867324544 1.0 1.0024109008715167 1.0000001743390023 -0.00015251337448796143
3.017 -0.06966197472258573 0.9995995773462701 0.0003405163548813752 1.0 1.0024035780100788 1.000000173608082 -0.00040059626181176977
3.017 -0.06897643981694346 1.0003993660932329 0.0003405188208796767 1.0 1.0023963187181713 1.0000001733592172 0.00039919273401567423
3.017 -0.0682909044456399 1.0003279794027338 0.0003405212966576212 1.0 1.0023890307431698 1.0000001727848324 0.00032780661790132726
3.017 -0.06760536907433634 1.0003526647011458 0.0003405237831136701 1.0 1.0023817114415747 1.0000001720668732 0.00035249263427261646
3.017 -0.06691983416869407 1.000416302115099 0.0003405262367075508 1.0 1.0023744889800779 1.0000001715142728 0.00041613060082612563
3.017 -0.0662342992630518 1.0000530478204426 0.00034052867723966457 1.0 1.0023673050707806 1.0000001708869009 5.28769335417234e-05
3.017 -0.06554876389174824 1.000446165315472 0.0003405311366168256 1.0 1.0023600657936869 1.0000001704208814 0.0004459948945905179
3.017 -0.06486322852044468 0.9994552867277485 0.0003405335903502395 1.0 1.0023528432333995 1.000000170164857 -0.0005448834371085676
3.017 -0.06417769361480241 1.000539886889893 0.00034053604780387984 1.0 1.0023456098269528 1.0000001697190923 0.000539717170800591
3.017 -0.06349215870916014 1.0000002769426624 0.0003405385084652155 1.0 1.0023383670833987 1.0000001691670652 1.0777559711350193e-07
3.017 -0.06280662333785658 0.9999522338119577 0.00034054095698450056 1.0 1.0023311601828142 1.000000168825854 -4.793501389621646e-05
3.017 -0.062121087966553024 0.9998797147064432 0.0003405433828240867 1.0 1.0023240201391974 1.0000001683824333 -0.00012045367599011758
